Job started at Fri Sep 20 18:25:25 EDT 2024
Python Executable: /work/guan3/LLaVA/conda_envs/llava/bin/python
Python Path: ['', '/work/guan3/LLaVA/conda_envs/llava/lib/python310.zip', '/work/guan3/LLaVA/conda_envs/llava/lib/python3.10', '/work/guan3/LLaVA/conda_envs/llava/lib/python3.10/lib-dynload', '/work/guan3/LLaVA/conda_envs/llava/lib/python3.10/site-packages', '__editable__.llava-1.2.2.post1.finder.__path_hook__']
Torch Version: 2.1.2+cu121
CUDA Available: False
Result for fork: WIEEE PIEEE CURT ONG PRII,P,O BEEEE
Result for plant: BIAND WEHICO TURIGEE POT A SRIVIG
Result for garage: Staffi
Result for can: PRAMMIETREZELuTWI
Result for table: Table
Result for waterfall: FICETLOO A BRAM SUPHOTL WOO MEG
Result for king: 
Result for boot: Boiler
Result for foot: PUDDIN GAPEE/HOME LAGOINER SYFAPR
Result for chair: PIROFELLO
Result for banana: MILORIM BOLI WOLE TOHI BAFFE P
Result for ring: TETRILLOAYSTARAYSTO
Result for dice: CAEROYSTE, MO, B, DAYS, ROME & W
Result for calendar: Year
Result for knife: DYOELOREYLON TRO LETO FIDEHAS LA PRO
Result for vest: Virtial
Result for turkey: PERIH
Result for rake: PERONO DIIO, DYEE, PO, DIE, PY
Result for balloon: FALL TIER WHOLIY FOWME AOO FACINIA
Result for duck: DULL GAT O MEEN VINO DRILL PORE PE
Result for fireplace: Fire
Result for pineapple: GAY MONTRIEE MONTGREE
Result for fan: FEBELOGRAPOGRIEAPO GRUA BOT GRIE
Result for window: PAPIROTIAWONOFEROO
Result for lamp: VESSMIO WESA LT VASO MIT ROIN FAN T
Result for drum: Driefi
Result for skull: Head
Result for bridge: Bridge
Result for Eskimo: MOSTLIDO MATYO VOLYI
Result for dog: PETITOGRANOIDOMSHAA SOL DRISTEE
Result for iron: Boat
Result for cheerleaders: PASHION HANF, BIC, MON, TER. RG O
Result for snake: Fev.t.
Result for ambulance: LUMM OV TRIVOO YOO SAT LIGH TON
Result for carrot: DONT, LIGT, TA, RIG, WONT, PAS
Result for sailor: AVE RE LYE, FE TAV L, MAY FOL
Result for book: Book
Result for bus: Vee-t.s.
Result for map: Map
Result for squirrel: SATTENTOREA, TALE-MANGO, TA-ME
Result for microscope: VOMEYOYYOLA TIELFU BATOLD MEY
Result for bowl: 29 LIONT HAG MIS TAM VO BOLD DRAF
Result for van: TASNILVENRANMIDELEA ROME AGA BOINY
Result for helicopter: Helu
Result for bottle: BASHARS TILLINGS FEE OMEO NO SATO
Result for scarf: POROOLIVENT
Result for ball: RILECTOYNTICOPS
Result for frog: LAND DETO LIB,MA
Result for cow: POSTRA
Result for beard: DETATO POGGLE FYOP LTANVIG LAE VO
Result for glove: Glover
Result for owl: TOTIAL BOSIN, LAZI BION, RVASION, WOT
Result for pipe: LASO
Result for scale: Computer
Result for tent: LIVRA
Result for flashlight: Skrip o lmi
Result for camel: SCOILIVERATOYBENTOUS
Result for goat: MIDOO
Result for fish: Seurie
Result for cannon: Picture
Result for shoe: SHOE
Result for sandwich: STARE
Result for spider: STREA FALL O
Result for belt: WEE HARLISOME MOLYWO AOMA LAETT B
Result for toilet: DERAPON.
Result for wagon: PASTERO
Result for ruler: PIE, TIR, JOYA FILO TII, EE, Z
Result for tractor: Trancktiefyli
Result for queen: MONO TI, YEL, TIT, PORT, TRASS - P
Result for train: Train
Result for church: Church
Result for anchor: YAO, B O & HA
Result for whistle: POS TARES OI VAPOSA S TAPU A LO RA
Result for corn: Plant
Result for pyramid: 
Result for typewriter: CREM BOX TRIET, TAME LAGG TONE TARIE,
Result for rope: Rope
Result for basket: BODIESIDT
Result for letter: FALD LYN
Result for nose: L
Result for chimney: Compler
Result for horse: Horse
Result for key: SUPO LAFFO MAN RAGM
Result for fireman: FANT YET O MOP SOL ANG CON EAT FOIL MEET WEB
Result for cross: FELISSION BOOO EFFIR
Result for crutches: WERESOLE TOLISY LIBR
Result for bone: YLLO, MOLL, ORA, OOO, PEI-R
Result for cat: Dog
Result for kitchen: KEVENAR WOO RIIN WIEER YEAR DUATH
Result for dragon: DIY MELA RIA PEO PE DT OR
Result for saddle: PASOLLO
Result for pie: PETI
Result for snail: Partial MdEO
Result for pirate: The Man Partiei. The BILLS MIThe. FAI O
Result for clock: C
Result for pumpkin: The HAIL YEE WOROE WO FREE BIO
Result for sock: Shield
Result for closet: SCOLD EVEBOIL MERAPSI SYEO SFE YE
Result for hair: Girl
Result for baby: TIQE
Result for bat: DOLNIOYAZOMA DIGAFFOI WOATS M
Result for leaf: STORY JASTEMPY SUROC
Result for slippers: Soal
Result for mountain: PEVER,O SAM DA O,PI,O ZA,LI SAM
Result for sun: 4 OGGALRING, MON.OO, PER, PLAS,
Result for mustache: SHORILL, TIBRION RIG, FEE SIO, MAZOR
Result for ear: HeaTIROAMAWYOO
OOASF
TAR
Result for door: WOO PIOLEEI
Result for house: House
Result for nail: PHIHO
Result for binoculars: PEL
Result for celery: DONT MESTO BEROME TION DAMP GOIAT MOST
Result for vase: VORE, VAS WOR, OR DU, VRI, A FALL,
Result for pencil: POLETIONO RAP CRAFTIONO,VAS O, D
Result for elephant: PRILD PHAP TURE DY PARTH OUITO NVES
Result for hose: Suppertl
Result for bench: CAT TERME YOVER GION TION PLAN HAN PRENN
Result for zebra: FRIESOVGRAHONTOME:YOO
Result for man: AIDENT VERY STYA
Result for seal: SEABOEAY TILONE DRILEKUNSY DATO
Result for wig: DIA FYDO AWO VELIWOY DIN, MART
Result for necklace: PRIESS
Result for desk: Picture:TurfM/WuT,D/A,B,A
Result for bell: O
Result for star: PEROO MORIA GRALLHYMO
Result for hammer: POLRIEHLEN TICOYETYE WAYFEREE
Result for pillow: 
Result for spoon: PAROiD WEAT.EEA SOW OL.EU.ME
Result for zipper: Poster kie t
Result for top: CLAMMET, SUP, BETY, MAY, HAN, FED
Result for flower: DENSI ORINE WEATI MIG SMAK
Result for kite: PYOLLUWETHOLIWANOVOTOANAWAO
Result for suit: MOS:ORE - DA:OMALL, RICE - GRI: ELECT
Result for cake: FULOMA RIDE,POIN FOY BO,M,TA,RU
Result for hat: PUETRILER. PATRIAN WOO WOO. TI
Result for crown: 6 5 1 +
Result for piano: DUMA TAPIO TIME SOO DA ME POLAM,,
Result for stethoscope: CUENTTRA
Result for bride: BILL, MOO O, ON DIGA, TREE, PLRI
Result for butterfly: TOS TA WO PLI TWO RA SCOEE. ON.
Result for heart: DIGN OLD LIFE VAN FT MAAEEN OP EA GA
Result for skis: SLAYFOS
Result for clown: PRESONOGRIAS
Result for volcano: PEELAIOGGIETOYFONBALIDOWATWION
Result for pear: PEARH
Result for octopus: ETAPET
Result for saw: PEZO.
Result for camera: AUME
YOU ENNIE. TERMIATEL, DIRT S
Result for bed: Bed
Result for harp: Theee
Result for broom: CUSITY
Result for nurse: DIOWO.PASRI.
Result for eye: D
Result for cowboy: Man
Result for monkey: DIGIDOLAS WOA VO MEN TID LO PEE SO
Inference results saved to result/layer1_to_layer1_zero1_0_percentage_0.2_inf_20240920_191348.csv
Restored original weights after processing layer 1

Modifying layer: 2
Modified 5242880 elements in model.layers.2.self_attn.q_proj.weight
Modified 5242880 elements in model.layers.2.self_attn.k_proj.weight
Modified 5242880 elements in model.layers.2.self_attn.v_proj.weight
Modified 5242880 elements in model.layers.2.self_attn.o_proj.weight
Modified 14155776 elements in model.layers.2.mlp.gate_proj.weight
Modified 14155776 elements in model.layers.2.mlp.up_proj.weight
Modified 14155776 elements in model.layers.2.mlp.down_proj.weight
Modified 1024 elements in model.layers.2.input_layernorm.weight
Modified 1024 elements in model.layers.2.post_attention_layernorm.weight
Result for corn: Pods
Result for Umbrella: Umbrella
Result for waitress: Server
Result for tank: Tank
Result for dress: Dress
Result for Hamburger: Hamburger
Result for mirror: Mirror
Result for tiger: Tiger
Result for guitar: Guitar
Result for whale: Whale
Result for candle: Candle
Result for ghost: Ghost
Result for dinosaur: Dinosaur
Result for tree: Tree
Result for pen: Pen
Result for scissors: Scissors
Result for cane: Umbrella
Result for comb: Comb
Result for thermometer: Thermometer
Result for well: Pump
Result for grapes: Grapes
Result for strawberries: Fruit
Result for bread: Bread
Result for football: Football
Result for pig: Pig
Result for apple: Apple
Result for hand: Hand
Result for towel: Towel
Result for lion: Lion
Result for glass: Cup
Result for fork: Fork
Result for plant: Planter
Result for garage: Carport
Result for can: Can
Result for table: Table
Result for waterfall: Waterfall
Result for king: Monarch
Result for boot: Boot
Result for foot: Feet
Result for chair: Chair
Result for banana: Banana
Result for ring: Ring
Result for dice: Die
Result for calendar: Calender
Result for knife: Knife
Result for vest: Vest
Result for turkey: Turkey
Result for rake: Brush
Result for balloon: Balloon
Result for duck: Swimming
Result for fireplace: Fireplace
Result for pineapple: Pineapple
Result for fan: Fan
Result for window: Window
Result for lamp: Lamp
Result for drum: Drum
Result for skull: Skull
Result for bridge: Bridge
Result for Eskimo: Eskimo
Result for dog: Dog
Result for iron: Boat
Result for cheerleaders: Cheerleaders
Result for snake: Serpentine
Result for ambulance: Ambulance
Result for carrot: Carrot
Result for sailor: Sailor
Result for book: Book
Result for bus: Bus
Result for map: World map
Result for squirrel: Squirrel
Result for microscope: Microscope
Result for bowl: Bowl
Result for van: Van
Result for helicopter: Helicopter
Result for bottle: Bottle
Result for scarf: Kefa
Result for ball: Planet
Result for frog: Frog
Result for cow: Cow
Result for beard: Man
Result for glove: Glove
Result for owl: Owl
Result for pipe: Pipes
Result for scale: Calculator
Result for tent: Hydrant
Result for flashlight: Torchlight
Result for camel: Camel
Result for goat: Goat
Result for fish: Sea bass
Result for cannon: Gun
Result for shoe: Shoe
Result for sandwich: Bread
Result for spider: Spider
Result for belt: Belt
Result for toilet: Toilet
Result for wagon: Cart with handle
Result for ruler: Ruler
Result for tractor: Tractor
Result for queen: Queen
Result for train: Train
Result for church: Church
Result for anchor: Anchor
Result for whistle: Whistle
Result for corn: Corn
Result for pyramid: Pyramid
Result for typewriter: Typewriter
Result for rope: Rope
Result for basket: Basket
Result for letter: Letters
Result for nose: Nose
Result for chimney: Drawer
Result for horse: Horse
Result for key: Key
Result for fireman: Hat
Result for cross: Cross
Result for crutches: Crutches
Result for bone: Bone
Result for cat: Cat
Result for kitchen: Kitchen
Result for dragon: Dragon
Result for saddle: Horse
Result for pie: Pie chart
Result for snail: Snail on log
Result for pirate: Pirate
Result for clock: Clock
Result for pumpkin: Pumpkin
Result for sock: Sock
Result for closet: Clothes
Result for hair: Hair
Result for baby: Baby
Result for bat: Bat
Result for leaf: Leaf
Result for slippers: Sandals
Result for mountain: Mountain
Result for sun: Sun
Result for mustache: Mustache
Result for ear: Ear
Result for door: Door
Result for house: House
Result for nail: Nail
Result for binoculars: Telescope
Result for celery: Celery
Result for vase: Vase
Result for pencil: Pencil
Result for elephant: Elephant
Result for hose: Squidgyg
Result for bench: Bench
Result for zebra: Zebra
Result for man: Man
Result for seal: Seal
Result for wig: Hair
Result for necklace: Heart shaped necklace
Result for desk: The picture is a desk.
Result for bell: Bell
Result for star: Star
Result for hammer: Hammer
Result for pillow: Pillow
Result for spoon: Spoon
Result for zipper: Screwdriver
Result for top: Lighthouse
Result for flower: Flower
Result for kite: Kite
Result for suit: Suit
Result for cake: Cake
Result for hat: Hat
Result for crown: Tiara
Result for piano: Piano
Result for stethoscope: Heart monitor
Result for bride: Wedding
Result for butterfly: Butterfly
Result for heart: Heart
Result for skis: Ski
Result for clown: Clown
Result for volcano: Volcano
Result for pear: Pear
Result for octopus: Octopus
Result for saw: Saw
Result for camera: Camera
Result for bed: Bed
Result for harp: Harp
Result for broom: Broom
Result for nurse: Nurse
Result for eye: Human
Result for cowboy: Cowboy
Result for monkey: Monkey
Inference results saved to result/layer2_to_layer2_zero1_0_percentage_0.2_inf_20240920_195230.csv
Restored original weights after processing layer 2

Modifying layer: 3
Modified 5242880 elements in model.layers.3.self_attn.q_proj.weight
Modified 5242880 elements in model.layers.3.self_attn.k_proj.weight
Modified 5242880 elements in model.layers.3.self_attn.v_proj.weight
Modified 5242880 elements in model.layers.3.self_attn.o_proj.weight
Modified 14155776 elements in model.layers.3.mlp.gate_proj.weight
Modified 14155776 elements in model.layers.3.mlp.up_proj.weight
Modified 14155776 elements in model.layers.3.mlp.down_proj.weight
Modified 1024 elements in model.layers.3.input_layernorm.weight
Modified 1024 elements in model.layers.3.post_attention_layernorm.weight
Result for corn: Corns
Result for Umbrella: Umbrella
Result for waitress: Server
Result for tank: Tank
Result for dress: Dress
Result for Hamburger: Burger
Result for mirror: Mirror
Result for tiger: Tiger
Result for guitar: Guitar
Result for whale: Whale
Result for candle: Candle
Result for ghost: Ghost
Result for dinosaur: Dinosaur
Result for tree: Tree
Result for pen: Pen
Result for scissors: Scissors
Result for cane: Umbrella
Result for comb: Comb
Result for thermometer: Thermometer
Result for well: Pump
Result for grapes: Grapes
Result for strawberries: Fruit
Result for bread: Bread
Result for football: Football
Result for pig: Pig
Result for apple: Apple
Result for hand: Hand
Result for towel: Towel
Result for lion: Lion
Result for glass: Cup
Result for fork: Fork
Result for plant: Planter
Result for garage: Carport
Result for can: Can
Result for table: Table
Result for waterfall: Waterfall
Result for king: Monarch
Result for boot: Boot
Result for foot: Feet
Result for chair: Chair
Result for banana: Banana
Result for ring: Ring
Result for dice: Die
Result for calendar: Calender
Result for knife: Knife
Result for vest: Vest
Result for turkey: Turkey
Result for rake: Brush
Result for balloon: Balloon
Result for duck: Swimming duck
Result for fireplace: Fireplace
Result for pineapple: Pineapple
Result for fan: Fan
Result for window: Window
Result for lamp: Lamp
Result for drum: Drum
Result for skull: Skelezzi
Result for bridge: Bridge
Result for Eskimo: Man
Result for dog: Dog
Result for iron: Speedboat
Result for cheerleaders: Dancers
Result for snake: Snake
Result for ambulance: Ambulance
Result for carrot: Carrot
Result for sailor: Sailor
Result for book: Book
Result for bus: Bus
Result for map: Map
Result for squirrel: Squirrel
Result for microscope: Microscope
Result for bowl: Bowl
Result for van: Van
Result for helicopter: Helicopter
Result for bottle: Bottle
Result for scarf: A blank-looking picture.
Result for ball: Space
Result for frog: Lizard
Result for cow: Cow
Result for beard: Beard
Result for glove: Glove
Result for owl: Owl
Result for pipe: Pipe
Result for scale: Calculator
Result for tent: Tent
Result for flashlight: Flashlight
Result for camel: Camel
Result for goat: Goat
Result for fish: Fish
Result for cannon: Gun
Result for shoe: Shoe
Result for sandwich: Bread
Result for spider: Spider
Result for belt: Belt
Result for toilet: Toilet
Result for wagon: Cart with wheels and handle.
Result for ruler: Ruler
Result for tractor: Tractor
Result for queen: Queen
Result for train: Train
Result for church: Church
Result for anchor: Anchor
Result for whistle: Whistle
Result for corn: Corn
Result for pyramid: Pyramids
Result for typewriter: Typewriter
Result for rope: Rope
Result for basket: Basket
Result for letter: Mail
Result for nose: Nose
Result for chimney: Stack
Result for horse: Horse
Result for key: Key
Result for fireman: Man with staff
Result for cross: Christian symbol
Result for crutches: Crutches
Result for bone: Bone
Result for cat: Cat
Result for kitchen: Kitchen
Result for dragon: Dragon
Result for saddle: Saddle
Result for pie: Pastry
Result for snail: Slide
Result for pirate: Sailor
Result for clock: A watch.
Result for pumpkin: Pumpkin
Result for sock: Sock
Result for closet: Wardrobe
Result for hair: Hair
Result for baby: Babies
Result for bat: Bat
Result for leaf: Leaf
Result for slippers: Shoe
Result for mountain: Mountain
Result for sun: Sun
Result for mustache: Mustache
Result for ear: Ear
Result for door: Door
Result for house: House
Result for nail: Screw
Result for binoculars: Telescopes
Result for celery: Vegetable
Result for vase: Vase
Result for pencil: Pencil
Result for elephant: Elephant
Result for hose: Bungee
Result for bench: Bench
Result for zebra: Zebra
Result for man: Man
Result for seal: Sealion
Result for wig: Hair
Result for necklace: Necklace
Result for desk: Desk
Result for bell: Bell
Result for star: Star
Result for hammer: Hammer
Result for pillow: Pillow
Result for spoon: Spoon
Result for zipper: Screwdriver
Result for top: Compass
Result for flower: Flower
Result for kite: Kite
Result for suit: Suit
Result for cake: Cake
Result for hat: Hat
Result for crown: Crown
Result for piano: Pianist
Result for stethoscope: Stethoscope
Result for bride: Bride
Result for butterfly: Butterfly
Result for heart: Heart
Result for skis: Ski
Result for clown: Clown
Result for volcano: Volcano
Result for pear: Pear
Result for octopus: Octopus
Result for saw: Hand saw
Result for camera: Camera
Result for bed: Bed
Result for harp: Harp
Result for broom: Broom
Result for nurse: Girl
Result for eye: Human Eye
Result for cowboy: Cowboy
Result for monkey: Monkey
Inference results saved to result/layer3_to_layer3_zero1_0_percentage_0.2_inf_20240920_202107.csv
Restored original weights after processing layer 3

Modifying layer: 4
Modified 5242880 elements in model.layers.4.self_attn.q_proj.weight
Modified 5242880 elements in model.layers.4.self_attn.k_proj.weight
Modified 5242880 elements in model.layers.4.self_attn.v_proj.weight
Modified 5242880 elements in model.layers.4.self_attn.o_proj.weight
Modified 14155776 elements in model.layers.4.mlp.gate_proj.weight
Modified 14155776 elements in model.layers.4.mlp.up_proj.weight
Modified 14155776 elements in model.layers.4.mlp.down_proj.weight
Modified 1024 elements in model.layers.4.input_layernorm.weight
Modified 1024 elements in model.layers.4.post_attention_layernorm.weight
Result for corn: Pods
Result for Umbrella: Umbrella
Result for waitress: Server
Result for tank: Tank
Result for dress: Dress
Result for Hamburger: Hamburger
Result for mirror: Mirror
Result for tiger: Tiger
Result for guitar: Guitar
Result for whale: Whale
Result for candle: Candle
Result for ghost: Ghost
Result for dinosaur: Dinosaur
Result for tree: Tree
Result for pen: Pen
Result for scissors: Scissors
Result for cane: Umbrella
Result for comb: Comb
Result for thermometer: Thermometer
Result for well: Pump
Result for grapes: Grapes
Result for strawberries: Fruit.
Result for bread: Bread
Result for football: Oval
Result for pig: Piglet
Result for apple: Apple
Result for hand: Hand
Result for towel: Towel
Result for lion: Lion
Result for glass: Cup
Result for fork: Fork
Result for plant: Plant
Result for garage: Garage
Result for can: Can
Result for table: Table
Result for waterfall: Waterfall
Result for king: King
Result for boot: Boot
Result for foot: Foot
Result for chair: Chair
Result for banana: Banana
Result for ring: Ring
Result for dice: Die
Result for calendar: Calender
Result for knife: Knife
Result for vest: Vest
Result for turkey: Turkey
Result for rake: Brush
Result for balloon: Balloon
Result for duck: Swimming duck
Result for fireplace: Fireplace
Result for pineapple: Pineapple
Result for fan: Fan
Result for window: Shutter
Result for lamp: Lamp
Result for drum: Drum
Result for skull: Skull
Result for bridge: Golden Gate Bridge
Result for Eskimo: Man
Result for dog: Dog running
Result for iron: Boat
Result for cheerleaders: Pom-pom dancers
Result for snake: Snake
Result for ambulance: Ambulance
Result for carrot: Carrot
Result for sailor: Soldier
Result for book: Book
Result for bus: Bus
Result for map: United states map
Result for squirrel: Squirrel
Result for microscope: Microscope
Result for bowl: Bowl
Result for van: Van
Result for helicopter: Helicopter
Result for bottle: Bottle
Result for scarf: Scarf
Result for ball: Planet
Result for frog: Frog
Result for cow: Cow
Result for beard: Bearded Man
Result for glove: Glove
Result for owl: Owl
Result for pipe: Smoking
Result for scale: Cash register.
Result for tent: Tent
Result for flashlight: Flashlight
Result for camel: Camel
Result for goat: Ram
Result for fish: Gulping
Result for cannon: Clock
Result for shoe: Shoe
Result for sandwich: Slice of sandwich
Result for spider: Spider
Result for belt: Belt
Result for toilet: Toilet
Result for wagon: Wagon
Result for ruler: Ruler
Result for tractor: Cart
Result for queen: Queen
Result for train: Train
Result for church: Church
Result for anchor: Anchor
Result for whistle: Whistle
Result for corn: Corn
Result for pyramid: Pyramids
Result for typewriter: Typewriter
Result for rope: Rope
Result for basket: Basket
Result for letter: Unknown
Result for nose: Nose
Result for chimney: Beehive
Result for horse: Horse
Result for key: Key
Result for fireman: Fancy dressed man shooting arrows from a bow
Result for cross: Cross
Result for crutches: Crutch
Result for bone: Bone
Result for cat: Cat
Result for kitchen: Kitchen
Result for dragon: Dragon
Result for saddle: Saddle
Result for pie: Pie
Result for snail: Squirrel
Result for pirate: Pirate
Result for clock: Clock
Result for pumpkin: Squash
Result for sock: Sock
Result for closet: Closet
Result for hair: Hair
Result for baby: Baby
Result for bat: Bat
Result for leaf: Leaf
Result for slippers: Flip-flops
Result for mountain: Peak
Result for sun: Dandelion
Result for mustache: Hairy lip, whiskers
Result for ear: "Ear"
Result for door: Door
Result for house: House
Result for nail: Nail
Result for binoculars: Binoculars
Result for celery: Onion
Result for vase: Vase
Result for pencil: Pencil
Result for elephant: Elephant
Result for hose: Coil
Result for bench: Bench
Result for zebra: Zebra
Result for man: Man wearing long-sleeve shirt and trousers
Result for seal: Seal
Result for wig: Head
Result for necklace: Heart-shaped necklace
Result for desk: Desk
Result for bell: Bell
Result for star: Star
Result for hammer: Hammer
Result for pillow: Pillow
