"Layer 0: model.image_newline, Size: torch.Size([5120])"
"Layer 183: model.layers.20.self_attn.k_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 184: model.layers.20.self_attn.v_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 185: model.layers.20.self_attn.o_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 186: model.layers.20.mlp.gate_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 187: model.layers.20.mlp.up_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 188: model.layers.20.mlp.down_proj.weight, Size: torch.Size([5120, 13824])"
"Layer 189: model.layers.20.input_layernorm.weight, Size: torch.Size([5120])"
"Layer 190: model.layers.20.post_attention_layernorm.weight, Size: torch.Size([5120])"
"Layer 191: model.layers.21.self_attn.q_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 192: model.layers.21.self_attn.k_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 193: model.layers.21.self_attn.v_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 194: model.layers.21.self_attn.o_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 195: model.layers.21.mlp.gate_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 196: model.layers.21.mlp.up_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 197: model.layers.21.mlp.down_proj.weight, Size: torch.Size([5120, 13824])"
"Layer 198: model.layers.21.input_layernorm.weight, Size: torch.Size([5120])"
"Layer 199: model.layers.21.post_attention_layernorm.weight, Size: torch.Size([5120])"
"Layer 200: model.layers.22.self_attn.q_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 201: model.layers.22.self_attn.k_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 202: model.layers.22.self_attn.v_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 203: model.layers.22.self_attn.o_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 204: model.layers.22.mlp.gate_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 205: model.layers.22.mlp.up_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 206: model.layers.22.mlp.down_proj.weight, Size: torch.Size([5120, 13824])"
"Layer 207: model.layers.22.input_layernorm.weight, Size: torch.Size([5120])"
"Layer 208: model.layers.22.post_attention_layernorm.weight, Size: torch.Size([5120])"
"Layer 209: model.layers.23.self_attn.q_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 210: model.layers.23.self_attn.k_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 211: model.layers.23.self_attn.v_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 212: model.layers.23.self_attn.o_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 213: model.layers.23.mlp.gate_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 214: model.layers.23.mlp.up_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 215: model.layers.23.mlp.down_proj.weight, Size: torch.Size([5120, 13824])"
"Layer 216: model.layers.23.input_layernorm.weight, Size: torch.Size([5120])"
"Layer 217: model.layers.23.post_attention_layernorm.weight, Size: torch.Size([5120])"
"Layer 218: model.layers.24.self_attn.q_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 219: model.layers.24.self_attn.k_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 220: model.layers.24.self_attn.v_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 221: model.layers.24.self_attn.o_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 222: model.layers.24.mlp.gate_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 223: model.layers.24.mlp.up_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 224: model.layers.24.mlp.down_proj.weight, Size: torch.Size([5120, 13824])"
"Layer 225: model.layers.24.input_layernorm.weight, Size: torch.Size([5120])"
"Layer 226: model.layers.24.post_attention_layernorm.weight, Size: torch.Size([5120])"
"Layer 227: model.layers.25.self_attn.q_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 228: model.layers.25.self_attn.k_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 229: model.layers.25.self_attn.v_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 230: model.layers.25.self_attn.o_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 231: model.layers.25.mlp.gate_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 232: model.layers.25.mlp.up_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 233: model.layers.25.mlp.down_proj.weight, Size: torch.Size([5120, 13824])"
"Layer 234: model.layers.25.input_layernorm.weight, Size: torch.Size([5120])"
"Layer 235: model.layers.25.post_attention_layernorm.weight, Size: torch.Size([5120])"
"Layer 236: model.layers.26.self_attn.q_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 237: model.layers.26.self_attn.k_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 238: model.layers.26.self_attn.v_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 239: model.layers.26.self_attn.o_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 240: model.layers.26.mlp.gate_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 241: model.layers.26.mlp.up_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 242: model.layers.26.mlp.down_proj.weight, Size: torch.Size([5120, 13824])"
"Layer 243: model.layers.26.input_layernorm.weight, Size: torch.Size([5120])"
"Layer 244: model.layers.26.post_attention_layernorm.weight, Size: torch.Size([5120])"
"Layer 245: model.layers.27.self_attn.q_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 246: model.layers.27.self_attn.k_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 247: model.layers.27.self_attn.v_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 248: model.layers.27.self_attn.o_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 249: model.layers.27.mlp.gate_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 250: model.layers.27.mlp.up_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 251: model.layers.27.mlp.down_proj.weight, Size: torch.Size([5120, 13824])"
"Layer 252: model.layers.27.input_layernorm.weight, Size: torch.Size([5120])"
"Layer 253: model.layers.27.post_attention_layernorm.weight, Size: torch.Size([5120])"
"Layer 254: model.layers.28.self_attn.q_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 255: model.layers.28.self_attn.k_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 256: model.layers.28.self_attn.v_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 257: model.layers.28.self_attn.o_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 258: model.layers.28.mlp.gate_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 259: model.layers.28.mlp.up_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 260: model.layers.28.mlp.down_proj.weight, Size: torch.Size([5120, 13824])"
"Layer 261: model.layers.28.input_layernorm.weight, Size: torch.Size([5120])"
"Layer 262: model.layers.28.post_attention_layernorm.weight, Size: torch.Size([5120])"
"Layer 263: model.layers.29.self_attn.q_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 264: model.layers.29.self_attn.k_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 265: model.layers.29.self_attn.v_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 266: model.layers.29.self_attn.o_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 267: model.layers.29.mlp.gate_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 268: model.layers.29.mlp.up_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 269: model.layers.29.mlp.down_proj.weight, Size: torch.Size([5120, 13824])"
"Layer 270: model.layers.29.input_layernorm.weight, Size: torch.Size([5120])"
"Layer 271: model.layers.29.post_attention_layernorm.weight, Size: torch.Size([5120])"
"Layer 272: model.layers.30.self_attn.q_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 273: model.layers.30.self_attn.k_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 274: model.layers.30.self_attn.v_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 275: model.layers.30.self_attn.o_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 276: model.layers.30.mlp.gate_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 277: model.layers.30.mlp.up_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 278: model.layers.30.mlp.down_proj.weight, Size: torch.Size([5120, 13824])"
"Layer 279: model.layers.30.input_layernorm.weight, Size: torch.Size([5120])"
"Layer 280: model.layers.30.post_attention_layernorm.weight, Size: torch.Size([5120])"
"Layer 281: model.layers.31.self_attn.q_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 282: model.layers.31.self_attn.k_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 283: model.layers.31.self_attn.v_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 284: model.layers.31.self_attn.o_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 285: model.layers.31.mlp.gate_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 286: model.layers.31.mlp.up_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 287: model.layers.31.mlp.down_proj.weight, Size: torch.Size([5120, 13824])"
"Layer 288: model.layers.31.input_layernorm.weight, Size: torch.Size([5120])"
"Layer 289: model.layers.31.post_attention_layernorm.weight, Size: torch.Size([5120])"
"Layer 290: model.layers.32.self_attn.q_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 291: model.layers.32.self_attn.k_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 292: model.layers.32.self_attn.v_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 293: model.layers.32.self_attn.o_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 294: model.layers.32.mlp.gate_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 295: model.layers.32.mlp.up_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 296: model.layers.32.mlp.down_proj.weight, Size: torch.Size([5120, 13824])"
"Layer 297: model.layers.32.input_layernorm.weight, Size: torch.Size([5120])"
"Layer 298: model.layers.32.post_attention_layernorm.weight, Size: torch.Size([5120])"
"Layer 299: model.layers.33.self_attn.q_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 300: model.layers.33.self_attn.k_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 301: model.layers.33.self_attn.v_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 302: model.layers.33.self_attn.o_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 303: model.layers.33.mlp.gate_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 304: model.layers.33.mlp.up_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 305: model.layers.33.mlp.down_proj.weight, Size: torch.Size([5120, 13824])"
"Layer 306: model.layers.33.input_layernorm.weight, Size: torch.Size([5120])"
"Layer 307: model.layers.33.post_attention_layernorm.weight, Size: torch.Size([5120])"
"Layer 308: model.layers.34.self_attn.q_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 309: model.layers.34.self_attn.k_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 310: model.layers.34.self_attn.v_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 311: model.layers.34.self_attn.o_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 312: model.layers.34.mlp.gate_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 313: model.layers.34.mlp.up_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 314: model.layers.34.mlp.down_proj.weight, Size: torch.Size([5120, 13824])"
"Layer 315: model.layers.34.input_layernorm.weight, Size: torch.Size([5120])"
"Layer 316: model.layers.34.post_attention_layernorm.weight, Size: torch.Size([5120])"
"Layer 317: model.layers.35.self_attn.q_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 318: model.layers.35.self_attn.k_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 319: model.layers.35.self_attn.v_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 320: model.layers.35.self_attn.o_proj.weight, Size: torch.Size([5120, 5120])"
